,List of Tweets
248,"In Zamboanga, Philippines presenting on drought management.  The Philippines is now experiencing a El Niño that req… https://t.co/0gnTrpzIt4"
249,"RT @BelindaJones68: WTF is with @ScottMorrisonMP today?

He's certainly in a bad mood today, more so than usual.

He's an ignorant, rude, d…"
250,"RT @Dj_Stavo: Was just Thinking 🤔

If he can Cause a DROUGHT I'm sure he  can locate his Watch 

Unless …....."
251,RT @LennaLeprena: Labor calls for police investigation into Angus Taylor – politics live https://t.co/eoXupyPgEG
252,RT @murpharoo: Labor will refer the Taylor/Sydney City Council matter to the NSW police within 24 hours if the government doesn't. Keep on…
253,Lowest on the food chain in Angus' office will be out of a job in the near future. Somebody will need to take a hit… https://t.co/XueBivX74i
254,"RT @lenoretaylor: except we have the altered council doc the Tele says it was sent by Taylor's office to back up his false claims, and the…"
255,"2nd time in a week this has happened in a drought affected town.  It’s hard enough to do business as it is, but whe… https://t.co/NtvyQ5bojb"
256,"RT @BelindaJones68: WTF is with @ScottMorrisonMP today?

He's certainly in a bad mood today, more so than usual.

He's an ignorant, rude, d…"
257,Goal 13 urges us to tackle climate change &amp; its impacts. If we don't take action now we will see a rise in extreme… https://t.co/ZM2vPAt5BE
258,"RT @suzzy_zw: @bustoptv hanzi Watch yawanikwa hakuchaite drought😂
 Zvazonzi church yaProphet #twabam inopindirwa kupi???🤔 https://t.co/CgWg…"
259,RT @katzyna: More than 100 #elephants have died in #Botswana in what the Department of #Wildlife &amp; National Parks attributes to an #anthrax…
260,RT @JosieMcskimming: How low does the dam have to get before @GladysB @melindapaveyMP et al seriously consider water recycling? Perth does…
261,RT @lenoretaylor: Labor calls for police investigation into Angus Taylor – politics live is keeping up with all the developments on @Guardi…
262,Labor calls for police investigation into Angus Taylor – politics live https://t.co/eoXupyPgEG
263,"RT @BelindaJones68: WTF is with @ScottMorrisonMP today?

He's certainly in a bad mood today, more so than usual.

He's an ignorant, rude, d…"
264,RT @CoreBEE_: Note: Contributions towards the drought relief programme of Gift of the Givers can be recognized on the SED scorecard - https…
265,RT @GuardianAus: #BREAKING: Labor calls for police investigation into whether Angus Taylor committed a crime in relation to altered documen…
266,RT @murpharoo: Labor will refer the Taylor/Sydney City Council matter to the NSW police within 24 hours if the government doesn't. Keep on…
267,RT @nypost: More than 50 elephants starve to death in a severe Zimbabwe drought https://t.co/eXwTeiuhCK https://t.co/5blPXL0VPr
268,RT @katzyna: More than 100 #elephants have died in #Botswana in what the Department of #Wildlife &amp; National Parks attributes to an #anthrax…
269,RT @murpharoo: Labor will refer the Taylor/Sydney City Council matter to the NSW police within 24 hours if the government doesn't. Keep on…
270,RT @murpharoo: Labor will refer the Taylor/Sydney City Council matter to the NSW police within 24 hours if the government doesn't. Keep on…
271,RT @DavidMaynier: Western Cape pledges R50m drought relief for farmers https://t.co/QqtqeLCYgH via @News24
272,RT @murpharoo: Labor will refer the Taylor/Sydney City Council matter to the NSW police within 24 hours if the government doesn't. Keep on…
273,"RT @kissybobohu: Everything Baekhyun touches turns into gold. Debuted with EXO and made history breaking a 12 year drought, with CBX became…"
274,"@ComedianJonas @olgordon Put the hose on them. Oh, drought."
275,RT @murpharoo: Labor will refer the Taylor/Sydney City Council matter to the NSW police within 24 hours if the government doesn't. Keep on…
276,RT @lenoretaylor: Labor calls for police investigation into Angus Taylor – politics live is keeping up with all the developments on @Guardi…
277,"RT @knarfnamduh: Nationals push for $1.2bn in drought relief to help party keep seats in next election

Now that's PORK BARRELING BIG TIME!…"
278,"RT @CloverMoore: People elect governments to lead for all of us, not bow to vested and powerful interests for short term private gain. At a…"
279,RT @AustralisTerry: Angus Taylor really doesn’t understand emissions of CO2 and CO and CH4: the main thing @AngusTaylorMP is that they are…
280,"RT @alanwinde: [WATCH] Today a decision was made at our Western Cape Cabinet meeting regarding drought relief measures. 🇿🇦

💰R50 million em…"
281,"RT @NSWsensing: Drought, climate data and smart water management- “Can we prepare for drought? Unlike cyclones or bush fires, drought creep…"
282,@NovemberQueen_ @boyce677 The problem is we Have been too comfortable with the water levels we’ve had not paying at… https://t.co/pEghSzwQIK
283,RT @lenoretaylor: Labor calls for police investigation into Angus Taylor – politics live is keeping up with all the developments on @Guardi…
284,RT @lenoretaylor: Labor calls for police investigation into Angus Taylor – politics live is keeping up with all the developments on @Guardi…
285,"RT @BelindaJones68: WTF is with @ScottMorrisonMP today?

He's certainly in a bad mood today, more so than usual.

He's an ignorant, rude, d…"
286,"RT @TeranRodriguez1: .@tannerpulice scores for Corona Del Mar on a penalty shot at the 4:53 mark of the third quarter, ending the Sea Kings…"
287,"RT @CloverMoore: People elect governments to lead for all of us, not bow to vested and powerful interests for short term private gain. At a…"
288,RT @ICRISAT: From an “orphan crop” to a high priority research subject with a fully mapped genome - @CropTrust article on the growing inter…
289,"RT @lenoretaylor: except we have the altered council doc the Tele says it was sent by Taylor's office to back up his false claims, and the…"
290,"RT @ItsBouquet: As we descend further down the shonky dark tunnel - here's the latest.

Angus Taylor calls Clover Moore doctored documents…"
291,"RT @inquirerdotnet: At least 55 elephants have died in a month in Zimbabwe due to a lack of food and water, its wildlife agency said Monday…"
292,RT @nypost: More than 50 elephants starve to death in a severe Zimbabwe drought https://t.co/eXwTeiuhCK https://t.co/5blPXL0VPr
293,RT @murpharoo: Labor will refer the Taylor/Sydney City Council matter to the NSW police within 24 hours if the government doesn't. Keep on…
294,RT @Reuters: Thirst turns to anger as Australia's mighty river runs dry https://t.co/oFnr5GM1le https://t.co/UUXaG6uXuU
295,RT @murpharoo: Labor will refer the Taylor/Sydney City Council matter to the NSW police within 24 hours if the government doesn't. Keep on…
296,More than 50 elephants starve to death in a severe Zimbabwe drought https://t.co/eXwTeiuhCK https://t.co/5blPXL0VPr
297,RT @murpharoo: Labor will refer the Taylor/Sydney City Council matter to the NSW police within 24 hours if the government doesn't. Keep on…
298,RT @AustralisTerry: Angus Taylor really doesn’t understand emissions of CO2 and CO and CH4: the main thing @AngusTaylorMP is that they are…
299,My paternal grandparents used to live near Woodstock in the town surrounded by woodlands. I remember there was a re… https://t.co/mflTbhSaQF
300,"RT @terrimbutler: The Morrison Government’s drought and water security credibility is in tatters.

There appears to be no start date, no co…"
301,RT @GuardianAus: #BREAKING: Labor calls for police investigation into whether Angus Taylor committed a crime in relation to altered documen…
302,RT @lukehgomes: Labor calls for police investigation into Angus Taylor – question time live https://t.co/uBqoB9EIJp
303,"RT @lenoretaylor: except we have the altered council doc the Tele says it was sent by Taylor's office to back up his false claims, and the…"
304,RT @CoreBEE_: Note: Contributions towards the drought relief programme of Gift of the Givers can be recognized on the SED scorecard - https…
305,"RT @2GB873: “The Morrison government won't be forgiven for this betrayal!""

@AlanJones says the PM's comments in question time yesterday co…"
306,RT @SneakyJoeWGR: Whenever someone tries to come at me with the low point of the drought... #Bills https://t.co/aHyZCnpbr9
307,RT @murpharoo: Labor will refer the Taylor/Sydney City Council matter to the NSW police within 24 hours if the government doesn't. Keep on…
308,RT @lenoretaylor: Labor calls for police investigation into Angus Taylor – politics live is keeping up with all the developments on @Guardi…
309,@shtastyD the drought was the very worst
310,"RT @BelindaJones68: WTF is with @ScottMorrisonMP today?

He's certainly in a bad mood today, more so than usual.

He's an ignorant, rude, d…"
311,RT @SkyNewsAust: Sky News host Alan Jones has broken down in tears live on-air while delivering an emotional tribute to farmers struggling…
312,@BryceDCamm @NationalFarmers When is it that some part of the country is not in drought though?
313,RT @murpharoo: Labor will refer the Taylor/Sydney City Council matter to the NSW police within 24 hours if the government doesn't. Keep on…
314,RT @DrHarryLime: Joe Hockey offered to assist in Barr inquiry without official request – politics live https://t.co/HfwtSvWjXy
315,"RT @billz_25: When the Western Cape struggled with drought it made international headlines 

The Eastern Cape is on the verge of being decl…"
316,"RT @RichForrest2: drought relief only for liberal or nationals seats = #somethingstinks

Nationals push for $1.3bn in drought relief to hel…"
317,RT @judithajames11: Darling Downs farmers suddenly finding underground water not there! Drought or mining as well as farmers' own use? Comb…
318,"Two weeks into the #B2WALD drought and the forest is showing signs, but still doing quite well. https://t.co/BEqbe5Ti00"
319,"RT @SkyNewsAust: Labor senator Murray Watt says the latest Nationals' drought plan is ""not a plan to save the drought, it's a plan to save…"
320,"RT @kissybobohu: Everything Baekhyun touches turns into gold. Debuted with EXO and made history breaking a 12 year drought, with CBX became…"
321,"RT @lenoretaylor: except we have the altered council doc the Tele says it was sent by Taylor's office to back up his false claims, and the…"
322,RT @raywilton4: Labor calls for police investigation into Angus Taylor – politics live https://t.co/SVkQNlW928
323,"RT @MySocialMedia6: Pork futures soar as Nationals demand $1.2bn, in barrels, to be delivered to their electorates.

It is not targeted to…"
324,"RT @murpharoo: Joe Hockey offered Australia's help with the Barr inquiry without the Americans asking, DFAT officials confirm at estimates…"
325,RT @Reuters: Thirst turns to anger as Australia's mighty river runs dry https://t.co/oFnr5GM1le https://t.co/UUXaG6uXuU
326,RT @murpharoo: Labor will refer the Taylor/Sydney City Council matter to the NSW police within 24 hours if the government doesn't. Keep on…
327,RT @lenoretaylor: Labor calls for police investigation into Angus Taylor – politics live is keeping up with all the developments on @Guardi…
328,"RT @anagramoflimey: @o_copter @Timmunist 2 miion Indians died from 1895 - 1899. While drought was a main factor, the death toll was vastly…"
329,RT @lenoretaylor: Labor calls for police investigation into Angus Taylor – politics live is keeping up with all the developments on @Guardi…
330,Angus Taylor would get kicked out of the local Residents Association...no wonder Australia doesn't have #Energy and… https://t.co/2R5r5pFOxD
331,"Now this character is actually enjoying the drought! 
Great big barrel of spikes. Beautiful #Cactus at… https://t.co/6IS3cUNhzB"
332,"RT @SpheDludla: Guys, we think we have it bad with Eskom here at home, but my friend in Lusaka tells me it's been two months of having 15hr…"
333,RT @murpharoo: Labor will refer the Taylor/Sydney City Council matter to the NSW police within 24 hours if the government doesn't. Keep on…
334,RT @Reuters: Thirst turns to anger as Australia's mighty river runs dry https://t.co/oFnr5GM1le https://t.co/UUXaG6uXuU
335,"RT @lenoretaylor: except we have the altered council doc the Tele says it was sent by Taylor's office to back up his false claims, and the…"
336,RT @murpharoo: Labor will refer the Taylor/Sydney City Council matter to the NSW police within 24 hours if the government doesn't. Keep on…
337,RT @GuardianAus: #BREAKING: Labor calls for police investigation into whether Angus Taylor committed a crime in relation to altered documen…
338,RT @lenoretaylor: Labor calls for police investigation into Angus Taylor – politics live is keeping up with all the developments on @Guardi…
339,"RT @inquirerdotnet: At least 55 elephants have died in a month in Zimbabwe due to a lack of food and water, its wildlife agency said Monday…"
340,@boyce677 @NovemberQueen_ I’m glad you’ve raised this issue. What will happen if we experience drought for the next… https://t.co/NATkWiV3LA
341,"RT @smh: NSW Deputy Premier John Barilaro has broken ranks with his Coalition colleagues and called on the federal government to ""reconside…"
342,"RT @lenoretaylor: except we have the altered council doc the Tele says it was sent by Taylor's office to back up his false claims, and the…"
343,RT @murpharoo: Labor will refer the Taylor/Sydney City Council matter to the NSW police within 24 hours if the government doesn't. Keep on…
344,"RT @BelindaJones68: WTF is with @ScottMorrisonMP today?

He's certainly in a bad mood today, more so than usual.

He's an ignorant, rude, d…"
345,RT @GuardianAus: #BREAKING: Labor calls for police investigation into whether Angus Taylor committed a crime in relation to altered documen…
346,RT @MGliksmanMDPhD: Labor calls for police investigation into Angus Taylor – question time live https://t.co/59jo4qcCTd Forget it. The poli…
347,"RT @13camel: As @AmyRemeikis has noted, @AngusTaylorMP has some serious questions to answer, in the face of strong evidence.
Labor calls fo…"
348,"RT @Triburos: But you know, I like to give DE a hard time and I know we're in Content Drought 8: The-Sequel-to-the-Prequel-of-the-Sequel's-…"
349,RT @murpharoo: Labor will refer the Taylor/Sydney City Council matter to the NSW police within 24 hours if the government doesn't. Keep on…
350,RT @Reuters: Thirst turns to anger as Australia's mighty river runs dry https://t.co/oFnr5GM1le https://t.co/UUXaG6uXuU
351,"RT @BelindaJones68: WTF is with @ScottMorrisonMP today?

He's certainly in a bad mood today, more so than usual.

He's an ignorant, rude, d…"
352,"RT @APAZimbabwe: @xandatoto Some advice for ZanuPF 
1. Enter the post struggle world. Stop seeing enemies everywhere 
2. Embrace change, no…"
353,"RT @BelindaJones68: WTF is with @ScottMorrisonMP today?

He's certainly in a bad mood today, more so than usual.

He's an ignorant, rude, d…"
354,"RT @alanauglis: Some BIG numbers possible with this Gulf loaded system on Saturday. From drought to flooding, yes it's possible. #kywx http…"
355,"RT @CW90120: Apparently it's about holding onto seats is drought stimulus 
For rural areas 
Pork barrelling 

The humanitarian side happens…"
356,RT @murpharoo: Labor will refer the Taylor/Sydney City Council matter to the NSW police within 24 hours if the government doesn't. Keep on…
357,RT @DavidMaynier: Western Cape pledges R50m drought relief for farmers https://t.co/QqtqeLCYgH via @News24
358,RT @murpharoo: Labor will refer the Taylor/Sydney City Council matter to the NSW police within 24 hours if the government doesn't. Keep on…
359,can y'all remember when he only had this thread to survive the major drought https://t.co/qxOppTi1xa
360,RT @MGliksmanMDPhD: Labor calls for police investigation into Angus Taylor – question time live https://t.co/59jo4qcCTd Forget it. The poli…
361,RT @iamstillpunch: Back inspired to write. I’ve been in a bit of a drought since I finished my album. Feel like I’m hitting another pocket…
362,RT @murpharoo: Labor will refer the Taylor/Sydney City Council matter to the NSW police within 24 hours if the government doesn't. Keep on…
363,Nationals push for $1.3bn in drought relief to help party keep seats in next election https://t.co/2v8b5faB6j
364,RT @GuardianAus: #BREAKING: Labor calls for police investigation into whether Angus Taylor committed a crime in relation to altered documen…
365,"RT @fvllsxn: so i woke up to hyuck calling taeil oppa, markhyuck thriving, yuta 2 hour private beat his meat time, wayv dropping teaser pic…"
366,"Labor senator Murray Watt says the latest Nationals' drought plan is ""not a plan to save the drought, it's a plan t… https://t.co/op2hLPc2FF"
367,RT @GuardianAus: #BREAKING: Labor calls for police investigation into whether Angus Taylor committed a crime in relation to altered documen…
368,RT @lenoretaylor: Labor calls for police investigation into Angus Taylor – politics live is keeping up with all the developments on @Guardi…
369,RT @lenoretaylor: Labor calls for police investigation into Angus Taylor – politics live is keeping up with all the developments on @Guardi…
370,"RT @terrimbutler: The Morrison Government’s drought and water security credibility is in tatters.

There appears to be no start date, no co…"
371,RT @murpharoo: Labor will refer the Taylor/Sydney City Council matter to the NSW police within 24 hours if the government doesn't. Keep on…
372,"Given that L has yet to enlist, it's going to be a long ass drought until INFT is back together as whole... Just th… https://t.co/TSCYAiT44F"
373,RT @murpharoo: Labor will refer the Taylor/Sydney City Council matter to the NSW police within 24 hours if the government doesn't. Keep on…
374,RT @murpharoo: Labor will refer the Taylor/Sydney City Council matter to the NSW police within 24 hours if the government doesn't. Keep on…
375,RT @OliverDowding: Worrying news: one major supplier of animal feed in the SW tells of overdue accounts rising in just the last 7 months fr…
376,RT @murpharoo: Labor will refer the Taylor/Sydney City Council matter to the NSW police within 24 hours if the government doesn't. Keep on…
377,RT @murpharoo: Labor will refer the Taylor/Sydney City Council matter to the NSW police within 24 hours if the government doesn't. Keep on…
378,RT @MGliksmanMDPhD: Labor calls for police investigation into Angus Taylor – question time live https://t.co/59jo4qcCTd Forget it. The poli…
379,"RT @SpheDludla: Guys, we think we have it bad with Eskom here at home, but my friend in Lusaka tells me it's been two months of having 15hr…"
380,RT @Reuters: Thirst turns to anger as Australia's mighty river runs dry https://t.co/oFnr5GM1le https://t.co/UUXaG6uXuU
381,RT @ncteetrash: So they rlly gave us an NCT drought and then dropped everything all at once 🙃 i cant even catch up. I havent watched the 12…
382,There is $5.8 billion in farm management deposit scheme accounts meant to be used to prop up farmers in droughts. T… https://t.co/PUL4XZxm5M
383,RT @MGliksmanMDPhD: Labor calls for police investigation into Angus Taylor – question time live https://t.co/59jo4qcCTd Forget it. The poli…
384,"@o_copter @Timmunist 2 miion Indians died from 1895 - 1899. While drought was a main factor, the death toll was vas… https://t.co/25rgfRzTXg"
385,"RT @BarcaTimes: 📰[AS] | Suárez fails to end four-year curse in Prague.

🔶Suarez had hoped to channel his current goal-scoring momentum to b…"
386,"RT @PPLplantarum: How does drought stress affect #soybean plants? Biochemical and physiological impacts of zinc sulphate, potassium phosphi…"
387,This imaginary rivalry between Mamelodi Sundowns and Kaizer Chiefs is similar to the one between Serena and Sharapo… https://t.co/i2yWah4A5j
388,RT @lenoretaylor: Labor calls for police investigation into Angus Taylor – politics live is keeping up with all the developments on @Guardi…
389,RT @lenoretaylor: Labor calls for police investigation into Angus Taylor – politics live is keeping up with all the developments on @Guardi…
390,RT @hyuckgospoilers: you know there's a drought when the entire timeline completely loses it as soon as just one youtube upload appears.
391,RT @MGliksmanMDPhD: Labor calls for police investigation into Angus Taylor – question time live https://t.co/59jo4qcCTd Forget it. The poli…
392,RT @riktheozfrog: @TheTurul @Akarnious @MillyMolly300 @Stratma30803775 @Turdface70 @Darren78516546 @Deefadog4me @StayTrueBlue @BillDobell @…
393,RT @murpharoo: Labor will refer the Taylor/Sydney City Council matter to the NSW police within 24 hours if the government doesn't. Keep on…
394,"RT @RichardMarlesMP: Whether it's the economy, the drought or your power bills - Scott Morrison is asleep at the wheel. #auspol #qt https:/…"
395,RT @AmyRemeikis: Home Affairs surveillance powers too much for bipartisan security committee - first time since 2002 it has said START AGAI…
396,https://t.co/J6fyvBGFFr
397,"RT @DuchessFrida: Labor calls for police investigation into Angus Taylor – politics live.

Minister says says he rejects ‘bizarre’ assertio…"
398,RT @murpharoo: Labor will refer the Taylor/Sydney City Council matter to the NSW police within 24 hours if the government doesn't. Keep on…
399,"RT @lenoretaylor: except we have the altered council doc the Tele says it was sent by Taylor's office to back up his false claims, and the…"
400,"RT @POTRM: WHY STOP THERE? GO THE FULL LOAD. THERE'S A MASSIVE DROUGHT SO THERE'S NO POINT TRYING TO PROTECT SCORCHED FARMLANDS, DRY RIVERS…"
401,"RT @TheAusInstitute: Caving into coal industry would be “absolute hypocrisy"" while there was ""much hand-wringing, prayers and crocodile tea…"
402,"At least 55 elephants have died in a month in Zimbabwe due to a lack of food and water, its wildlife agency said Mo… https://t.co/5VLe2wkyZM"
403,@beytingz love drought
404,"RT @BelindaJones68: WTF is with @ScottMorrisonMP today?

He's certainly in a bad mood today, more so than usual.

He's an ignorant, rude, d…"
405,RT @murpharoo: Labor will refer the Taylor/Sydney City Council matter to the NSW police within 24 hours if the government doesn't. Keep on…
406,RT @murpharoo: Labor will refer the Taylor/Sydney City Council matter to the NSW police within 24 hours if the government doesn't. Keep on…
407,RT @murpharoo: Labor will refer the Taylor/Sydney City Council matter to the NSW police within 24 hours if the government doesn't. Keep on…
408,RT @raywilton4: Labor calls for police investigation into Angus Taylor – politics live https://t.co/SVkQNlW928
409,RT @murpharoo: Labor will refer the Taylor/Sydney City Council matter to the NSW police within 24 hours if the government doesn't. Keep on…
410,RT @lenoretaylor: Labor calls for police investigation into Angus Taylor – politics live is keeping up with all the developments on @Guardi…
411,RT @murpharoo: Labor will refer the Taylor/Sydney City Council matter to the NSW police within 24 hours if the government doesn't. Keep on…
412,RT @RPGeneticGains: Pigeon pea is one of the critical crops that keeps drought from turning into famine. https://t.co/FAh1zDqaOy @CropTrust…
413,"RT @BelindaJones68: WTF is with @ScottMorrisonMP today?

He's certainly in a bad mood today, more so than usual.

He's an ignorant, rude, d…"
414,RT @lenoretaylor: Labor calls for police investigation into Angus Taylor – politics live is keeping up with all the developments on @Guardi…
415,"RT @BelindaJones68: WTF is with @ScottMorrisonMP today?

He's certainly in a bad mood today, more so than usual.

He's an ignorant, rude, d…"
416,"RT @Cat_Kapow: Did you know? #trees control rainfall, air quality, #weather patterns &amp; even the #temperature They are also food &amp; shelter f…"
417,"RT @DuchessFrida: Labor calls for police investigation into Angus Taylor – politics live.

Minister says says he rejects ‘bizarre’ assertio…"
418,@IamAlphonzo Now I am even starting to think that we are not their rivals because they are competing at having the… https://t.co/A9iixvRM03
419,"RT @abcnews: How are the smallest ozone hole in decades, drought and fire danger connected? https://t.co/6Bp64XHRZG"
420,RT @GuardianAus: #BREAKING: Labor calls for police investigation into whether Angus Taylor committed a crime in relation to altered documen…
421,RT @lenoretaylor: Labor calls for police investigation into Angus Taylor – politics live is keeping up with all the developments on @Guardi…
422,RT @GuardianAus: #BREAKING: Labor calls for police investigation into whether Angus Taylor committed a crime in relation to altered documen…
423,Cool graphic. Go ahead and add a minimum couple hundred more to the current drought. https://t.co/RtNqFbROKr
424,"RT @BelindaJones68: WTF is with @ScottMorrisonMP today?

He's certainly in a bad mood today, more so than usual.

He's an ignorant, rude, d…"
425,RT @murpharoo: Labor will refer the Taylor/Sydney City Council matter to the NSW police within 24 hours if the government doesn't. Keep on…
426,RT @lenoretaylor: Labor calls for police investigation into Angus Taylor – politics live is keeping up with all the developments on @Guardi…
427,"RT @AshBroomie: Don’t go home early. Drought affected farmers, transgender adolescents struggling with suicidality, we discuss how to suppo…"
428,@nathanhondros @WAtoday well when @The_Nationals make themselves invisible to the voters by   being dictated to by… https://t.co/VAvEQwYUTn
429,RT @GuardianAus: #BREAKING: Labor calls for police investigation into whether Angus Taylor committed a crime in relation to altered documen…
430,"Apparently it's about holding onto seats is drought stimulus 
For rural areas 
Pork barrelling 

The humanitarian s… https://t.co/PsMgfNt6bH"
431,RT @murpharoo: Labor will refer the Taylor/Sydney City Council matter to the NSW police within 24 hours if the government doesn't. Keep on…
432,"RT @severeweatherEU: An unusually strong IOD event has developed in the Indian ocean, changing the pressure pattern across the region, and…"
433,@Bernard_BKabwe @NovemberQueen_ The power banks that we have in this country can provide power to the whole country… https://t.co/rkkI1VUmo2
434,RT @ohsodua: selena really said to us im gonna fix the last 4 years music drought for my fans in 24 hours
435,RT @murpharoo: Labor will refer the Taylor/Sydney City Council matter to the NSW police within 24 hours if the government doesn't. Keep on…
436,RT @Reuters: Thirst turns to anger as Australia's mighty river runs dry https://t.co/oFnr5GM1le https://t.co/UUXaG6uXuU
437,RT @murpharoo: Labor will refer the Taylor/Sydney City Council matter to the NSW police within 24 hours if the government doesn't. Keep on…
438,RT @murpharoo: Labor will refer the Taylor/Sydney City Council matter to the NSW police within 24 hours if the government doesn't. Keep on…
439,RT @Reuters: Thirst turns to anger as Australia's mighty river runs dry https://t.co/oFnr5GM1le https://t.co/UUXaG6uXuU
440,RT @lenoretaylor: Labor calls for police investigation into Angus Taylor – politics live is keeping up with all the developments on @Guardi…
441,RT @murpharoo: Labor will refer the Taylor/Sydney City Council matter to the NSW police within 24 hours if the government doesn't. Keep on…
442,"RT @13camel: As @AmyRemeikis has noted, @AngusTaylorMP has some serious questions to answer, in the face of strong evidence.
Labor calls fo…"
443,"RT @PTTVOnlineNews: ‘தண்ணீரை நீர்ம தங்கமாக பார்க்க வேண்டும்!’ - சத்யகோபால்    
https://t.co/NLV3FrXvC8"
444,RT @murpharoo: Labor will refer the Taylor/Sydney City Council matter to the NSW police within 24 hours if the government doesn't. Keep on…
445,RT @MGliksmanMDPhD: Labor calls for police investigation into Angus Taylor – question time live https://t.co/59jo4qcCTd Forget it. The poli…
446,"How are the smallest ozone hole in decades, drought and fire danger connected? https://t.co/FGv5ij6Xem"
447,RT @MD_Basin_Auth: The latest Murray-Darling Basin drought update is now out https://t.co/VDZEeWllYP https://t.co/LeTtbrRVKM
448,"RT @terrimbutler: The Morrison Government’s drought and water security credibility is in tatters.

There appears to be no start date, no co…"
449,RT @Reuters: Thirst turns to anger as Australia's mighty river runs dry https://t.co/oFnr5GM1le https://t.co/UUXaG6uXuU
450,"selenation how are we feeling about the lead single, the surprise song, n the insta live dropping in less than 24 h… https://t.co/vrl1zlIknv"
451,"RT @EndDaysVisions: When we kept silence, our bones waxed old through our groaning all the day long. Day and night thy hand was heavy upon…"
452,"Labor calls for police investigation into Angus Taylor – politics live.

Minister says says he rejects ‘bizarre’ as… https://t.co/b8K0eYS0MF"
453,RT @abcnews: 'She has to bathe in a bucket': Top End water supplies hit critical low https://t.co/159hhCG4FV
454,"RT @13camel: As @AmyRemeikis has noted, @AngusTaylorMP has some serious questions to answer, in the face of strong evidence.
Labor calls fo…"
455,Govt’s drought plan is nothing but a ‘blunt fiscal instrument’: https://t.co/L1PkhkcDxq #auspol #australiapm
456,"RT @JulianCribb: @p_hannam @smh If Sydney recycled its water, it wouldn't need rain to break the drought. But, unlike Singapore, Sydney is…"
457,RT @lenoretaylor: Labor calls for police investigation into Angus Taylor – politics live is keeping up with all the developments on @Guardi…
458,RT @murpharoo: Labor will refer the Taylor/Sydney City Council matter to the NSW police within 24 hours if the government doesn't. Keep on…
459,"@imexoloverr yes, sabay sabay nating tiisin lahat ng drought nato"
460,"RT @PaulineHansonOz: ONE NATION RESULTS LIGHT FIRE UNDER NATS

The Nationals have described the drought as a seminal issue for the regions…"
461,"RT @RichardMarlesMP: Whether it's the economy, the drought or your power bills - Scott Morrison is asleep at the wheel. #auspol #qt https:/…"
462,"RT @BelindaJones68: WTF is with @ScottMorrisonMP today?

He's certainly in a bad mood today, more so than usual.

He's an ignorant, rude, d…"
463,RT @ivan2meyer: I am pleased to announce that the @WesternCapeGov and the Minister of Finance have today approved immediate emergency droug…
464,Thirst turns to anger as Australia's mighty river runs dry | Article [AMP] | Reuters https://t.co/J7Rn4WSHk2
465,DR-20191024-70001-PAK - Drought - Pakistan - Asia https://t.co/lqxAS7iUss - One-third of the cotton crop has been d… https://t.co/mWzd6weKvj
466,"RT @cyborgw3m: [122] THE END

🤖: Thank you so much for reading my AU. I had fun writing it. I hope it is something you guys can read again…"
467,"RT @BelindaJones68: WTF is with @ScottMorrisonMP today?

He's certainly in a bad mood today, more so than usual.

He's an ignorant, rude, d…"
468,"RT @BelindaJones68: WTF is with @ScottMorrisonMP today?

He's certainly in a bad mood today, more so than usual.

He's an ignorant, rude, d…"
469,"It looks like
#WashingtonNationals 
Are finally going to win their first championship. The drought is over"
470,RT @GuardianAus: #BREAKING: Labor calls for police investigation into whether Angus Taylor committed a crime in relation to altered documen…
471,RT @MGliksmanMDPhD: Labor calls for police investigation into Angus Taylor – question time live https://t.co/59jo4qcCTd Forget it. The poli…
472,RT @earleyedition: #BREAKING: It's getting hot in here ☕️🔥Labor calls for police investigation into Angus Taylor – #questiontime live #ausp…
473,"RT @abcnews: How are the smallest ozone hole in decades, drought and fire danger connected? https://t.co/6Bp64XHRZG"
474,"As @AmyRemeikis has noted, @AngusTaylorMP has some serious questions to answer, in the face of strong evidence.
Lab… https://t.co/0WylalZi6V"
475,"RT @APAZimbabwe: @xandatoto Some advice for ZanuPF 
1. Enter the post struggle world. Stop seeing enemies everywhere 
2. Embrace change, no…"
476,"RT @realjaewilliams: A list of dumb things the Lakers have done during our 6 year playoff drought 

1. Trade Lou Williams 
2. Resign KCP
3.…"
477,RT @murpharoo: Labor will refer the Taylor/Sydney City Council matter to the NSW police within 24 hours if the government doesn't. Keep on…
478,"RT @jamiesonmurph: Barnaby Joyce's billion dollar drought relief call, with $10m to each council #auspol https://t.co/Q3pzGfhMH5"
479,"How are the smallest ozone hole in decades, drought and fire danger connected? https://t.co/qP0CeJ2y99"
480,RT @murpharoo: Labor will refer the Taylor/Sydney City Council matter to the NSW police within 24 hours if the government doesn't. Keep on…
481,"RT @kissybobohu: Everything Baekhyun touches turns into gold. Debuted with EXO and made history breaking a 12 year drought, with CBX became…"
482,"RT @knarfnamduh: Nationals push for $1.2bn in drought relief to help party keep seats in next election

Now that's PORK BARRELING BIG TIME!…"
483,"RT @BelindaJones68: WTF is with @ScottMorrisonMP today?

He's certainly in a bad mood today, more so than usual.

He's an ignorant, rude, d…"
484,RT @murpharoo: Labor will refer the Taylor/Sydney City Council matter to the NSW police within 24 hours if the government doesn't. Keep on…
485,"RT @BelindaJones68: WTF is with @ScottMorrisonMP today?

He's certainly in a bad mood today, more so than usual.

He's an ignorant, rude, d…"
